ID,Name,disableParam_NT,disableParamReserve1,disableParamReserve2,behaviorVariationId,sortId,wanderingEquipId,weight,weaponWeightRate,fixPrice,reinforcePrice,sellValue,correctStrength,correctAgility,correctMagic,correctFaith,physGuardCutRate,magGuardCutRate,fireGuardCutRate,thunGuardCutRate,spEffectBehaviorId0,spEffectBehaviorId1,spEffectBehaviorId2,residentSpEffectId,residentSpEffectId1,residentSpEffectId2,materialSetId,originEquipWep,originEquipWep1,originEquipWep2,originEquipWep3,originEquipWep4,originEquipWep5,originEquipWep6,originEquipWep7,originEquipWep8,originEquipWep9,originEquipWep10,originEquipWep11,originEquipWep12,originEquipWep13,originEquipWep14,originEquipWep15,weakA_DamageRate,weakB_DamageRate,weakC_DamageRate,weakD_DamageRate,sleepGuardResist_MaxCorrect,madnessGuardResist_MaxCorrect,saWeaponDamage,equipModelId,iconId,durability,durabilityMax,attackThrowEscape,parryDamageLife,attackBasePhysics,attackBaseMagic,attackBaseFire,attackBaseThunder,attackBaseStamina,guardAngle,saDurability,staminaGuardDef,reinforceTypeId,trophySGradeId,trophySeqId,throwAtkRate,bowDistRate,equipModelCategory,equipModelGender,weaponCategory,wepmotionCategory,guardmotionCategory,atkMaterial,defSeMaterial1,correctType_Physics,spAttribute,spAtkcategory,wepmotionOneHandId,wepmotionBothHandId,properStrength,properAgility,properMagic,properFaith,overStrength,attackBaseParry,defenseBaseParry,guardBaseRepel,attackBaseRepel,guardCutCancelRate,guardLevel,slashGuardCutRate,blowGuardCutRate,thrustGuardCutRate,poisonGuardResist,diseaseGuardResist,bloodGuardResist,curseGuardResist,atkAttribute,rightHandEquipable,leftHandEquipable,bothHandEquipable,arrowSlotEquipable,boltSlotEquipable,enableGuard,enableParry,enableMagic,enableSorcery,enableMiracle,enableVowMagic,isNormalAttackType,isBlowAttackType,isSlashAttackType,isThrustAttackType,isEnhance,isHeroPointCorrect,isCustom,disableBaseChangeReset,disableRepair,isDarkHand,simpleModelForDlc,lanternWep,isVersusGhostWep,baseChangeCategory,isDragonSlayer,isDeposit,disableMultiDropShare,isDiscard,isDrop,showLogCondType,enableThrow,showDialogCondType,disableGemAttr,defSfxMaterial1,wepCollidableType0,wepCollidableType1,postureControlId_Right,postureControlId_Left,traceSfxId0,traceDmyIdHead0,traceDmyIdTail0,traceSfxId1,traceDmyIdHead1,traceDmyIdTail1,traceSfxId2,traceDmyIdHead2,traceDmyIdTail2,traceSfxId3,traceDmyIdHead3,traceDmyIdTail3,traceSfxId4,traceDmyIdHead4,traceDmyIdTail4,traceSfxId5,traceDmyIdHead5,traceDmyIdTail5,traceSfxId6,traceDmyIdHead6,traceDmyIdTail6,traceSfxId7,traceDmyIdHead7,traceDmyIdTail7,defSfxMaterial2,defSeMaterial2,absorpParamId,toughnessCorrectRate,isValidTough_ProtSADmg,isDualBlade,isAutoEquip,isEnableEmergencyStep,invisibleOnRemo,pad2,correctType_Magic,correctType_Fire,correctType_Thunder,weakE_DamageRate,weakF_DamageRate,darkGuardCutRate,attackBaseDark,correctType_Dark,correctType_Poison,sortGroupId,atkAttribute2,sleepGuardResist,madnessGuardResist,correctType_Blood,properLuck,freezeGuardResist,autoReplenishType,swordArtsParamId,correctLuck,arrowBoltEquipId,DerivationLevelType,enchantSfxSize,wepType,physGuardCutRate_MaxCorrect,magGuardCutRate_MaxCorrect,fireGuardCutRate_MaxCorrect,thunGuardCutRate_MaxCorrect,darkGuardCutRate_MaxCorrect,poisonGuardResist_MaxCorrect,diseaseGuardResist_MaxCorrect,bloodGuardResist_MaxCorrect,curseGuardResist_MaxCorrect,freezeGuardResist_MaxCorrect,staminaGuardDef_MaxCorrect,residentSfxId_1,residentSfxId_2,residentSfxId_3,residentSfxId_4,residentSfx_DmyId_1,residentSfx_DmyId_2,residentSfx_DmyId_3,residentSfx_DmyId_4,staminaConsumptionRate,vsPlayerDmgCorrectRate_Physics,vsPlayerDmgCorrectRate_Magic,vsPlayerDmgCorrectRate_Fire,vsPlayerDmgCorrectRate_Thunder,vsPlayerDmgCorrectRate_Dark,vsPlayerDmgCorrectRate_Poison,vsPlayerDmgCorrectRate_Blood,vsPlayerDmgCorrectRate_Freeze,attainmentWepStatusStr,attainmentWepStatusDex,attainmentWepStatusMag,attainmentWepStatusFai,attainmentWepStatusLuc,attackElementCorrectId,saleValue,reinforceShopCategory,maxArrowQuantity,residentSfx_1_IsVisibleForHang,residentSfx_2_IsVisibleForHang,residentSfx_3_IsVisibleForHang,residentSfx_4_IsVisibleForHang,isSoulParamIdChange_model0,isSoulParamIdChange_model1,isSoulParamIdChange_model2,isSoulParamIdChange_model3,wepSeIdOffset,baseChangePrice,levelSyncCorrectId,correctType_Sleep,correctType_Madness,rarity,gemMountType,wepRegainHp,spEffectMsgId0,spEffectMsgId1,spEffectMsgId2,originEquipWep16,originEquipWep17,originEquipWep18,originEquipWep19,originEquipWep20,originEquipWep21,originEquipWep22,originEquipWep23,originEquipWep24,originEquipWep25,vsPlayerDmgCorrectRate_Sleep,vsPlayerDmgCorrectRate_Madness,saGuardCutRate,defMaterialVariationValue,spAttributeVariationValue,stealthAtkRate,vsPlayerDmgCorrectRate_Disease,vsPlayerDmgCorrectRate_Curse,pad
1000,,1,0,[0|0|0],0,9999999,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,0,0,0,0,100,100,0,-1,100,100,100,100,100,0,0,0,0,-1,-1,0,-1,7,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,139,139,-1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,0,0,0,1,1,[0|0|0|0|0|0|0|0]
1100,,1,0,[0|0|0],0,9999999,0,1,0,0,0,-1,30,60,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,0,0,0,0,0,0,0,-1,100,100,100,100,100,0,0,0,0,-1,-1,0,-1,7,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,139,139,-1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,0,0,0,1,1,[0|0|0|0|0|0|0|0]
1200,,1,0,[0|0|0],0,9999999,0,1,0,0,0,0,20,50,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,0,0,0,0,0,0,0,-1,100,100,100,100,100,0,0,0,0,-1,-1,0,-1,7,0,0,0,0,0,100,3,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,139,139,-1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,10,255,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1010,-1,0,1,0,0,0,0,1,0,0,0,0,0,400,10,10,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,0,0,0,1,1,[0|0|0|0|0|0|0|0]
1210,,1,0,[0|0|0],0,9999999,0,1,0,0,0,0,20,50,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,0,0,0,0,0,0,0,-1,100,100,100,100,100,0,0,0,0,-1,-1,0,-1,7,0,0,0,0,0,100,3,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,139,139,-1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,10,255,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1011,-1,0,1,0,0,0,0,1,0,0,0,0,0,400,10,10,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,0,0,0,1,1,[0|0|0|0|0|0|0|0]
1220,,1,0,[0|0|0],0,9999999,0,1,0,0,0,0,20,50,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,0,0,0,0,0,0,0,-1,100,100,100,100,100,0,0,0,0,-1,-1,0,-1,7,0,0,0,0,0,100,3,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,139,139,-1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,10,255,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1012,-1,0,1,0,0,0,0,1,0,0,0,0,0,400,10,10,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,0,0,0,1,1,[0|0|0|0|0|0|0|0]
1230,,1,0,[0|0|0],0,9999999,0,1,0,0,0,0,20,50,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,0,0,0,0,0,0,0,-1,100,100,100,100,100,0,0,0,0,-1,-1,0,-1,7,0,0,0,0,0,100,3,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,139,139,-1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,10,255,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1013,-1,0,1,0,0,0,0,1,0,0,0,0,0,400,10,10,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,0,0,0,1,1,[0|0|0|0|0|0|0|0]
1240,,1,0,[0|0|0],0,9999999,0,1,0,0,0,0,20,50,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,0,0,0,0,0,0,0,-1,100,100,100,100,100,0,0,0,0,-1,-1,0,-1,7,0,0,0,0,0,100,3,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,139,139,-1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,10,255,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1014,-1,0,1,0,0,0,0,1,0,0,0,0,0,400,10,10,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,0,0,0,1,1,[0|0|0|0|0|0|0|0]
1250,,1,0,[0|0|0],0,9999999,0,1,0,0,0,0,20,50,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,0,0,0,0,0,0,0,-1,100,100,100,100,100,0,0,0,0,-1,-1,0,-1,7,0,0,0,0,0,100,3,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,139,139,-1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,10,255,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1015,-1,0,1,0,0,0,0,1,0,0,0,0,0,400,10,10,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,0,0,0,1,1,[0|0|0|0|0|0|0|0]
1260,,1,0,[0|0|0],0,9999999,0,1,0,0,0,0,20,50,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,0,0,0,0,0,0,0,-1,100,100,100,100,100,0,0,0,0,-1,-1,0,-1,7,0,0,0,0,0,100,3,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,139,139,-1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,10,255,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1016,-1,0,1,0,0,0,0,1,0,0,0,0,0,400,10,10,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,0,0,0,1,1,[0|0|0|0|0|0|0|0]
1400,,1,0,[0|0|0],0,9999999,0,1,0,0,0,0,25,15,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,0,0,0,0,0,0,0,-1,100,100,100,100,100,0,0,0,0,-1,-1,0,-1,7,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,139,139,-1,1,0,0,0,0,1,0,0,3,0,1,1,0,0,0,10,255,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1000,-1,0,1,0,0,0,0,1,0,0,0,0,0,401,10,10,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,0,0,0,1,1,[0|0|0|0|0|0|0|0]
